id,user_id,book_id,quantity,unit_price,timestamp,shipping,paid_price,year,month,day
75198,55590,21465,1,73.5,2024-10-07 20:47:31+00:00,Unknown,73.5,2024,10,7
82023,53482,21374,1,25.0,2024-09-11 05:27:49+00:00,Unknown,25.0,2024,9,11
81439,55123,21408,1,22.5,2024-08-06 06:53:00+00:00,Unknown,22.5,2024,8,6
80259,54387,21013,1,42.5,2025-03-18 09:32:41+00:00,Unknown,42.5,2025,3,18
80176,54916,21437,1,62.5,2024-09-24 16:55:14+00:00,Unknown,62.5,2024,9,24
75145,54881,21487,4,73.0,2024-10-16 16:44:45+00:00,Unknown,292.0,2024,10,16
77748,53943,21283,3,41.75,2025-02-19 06:46:46+00:00,"22571 Shena Oval, West Mellissastad, MN 91780",125.25,2025,2,19
81737,54468,21519,1,46.0,2025-02-01 02:52:35+00:00,Unknown,46.0,2025,2,1
78876,54627,21302,5,22.0,2025-03-09 17:13:59+00:00,Unknown,110.0,2025,3,9
74442,54189,20936,2,68.4,2024-11-12 16:18:00+00:00,Unknown,136.8,2024,11,12
77997,54202,21385,4,20.4,2024-12-20 03:15:05+00:00,Unknown,81.6,2024,12,20
79367,54283,21226,1,58.0,2025-07-28 17:47:00+00:00,Unknown,58.0,2025,7,28
75499,53171,21041,1,84.0,2024-11-04 14:25:24+00:00,Unknown,84.0,2024,11,4
76091,53999,20921,2,19.25,2024-09-01 11:34:07+00:00,Unknown,38.5,2024,9,1
79132,55304,21105,1,63.59,2024-12-17 13:42:13+00:00,"Suite 319 586 Halvorson Lane, Lucioborough, MO 43284-4515",63.59,2024,12,17
76575,53032,20939,1,80.4,2025-04-09 19:36:00+00:00,"Apt. 145 402 Maxwell Causeway, Deweytown, ND 75473",80.4,2025,4,9
82150,54747,21413,1,55.0,2025-01-03 05:53:53+00:00,"Suite 704 1963 Hyatt Isle, Lanastad, WV 00496",55.0,2025,1,3
78844,54893,21578,1,39.0,2024-10-06 00:19:37+00:00,"747 Hegmann Street, Coleborough, TX 69056",39.0,2024,10,6
74470,53359,20976,1,53.75,2024-12-31 17:28:54+00:00,Unknown,53.75,2024,12,31
75990,54905,21227,3,69.0,2024-11-28 04:26:03+00:00,Unknown,207.0,2024,11,28
80770,53277,21011,1,39.6,2024-05-11 05:50:00+00:00,"3334 Tom Bridge, Moenchester, ID 49650-2509",39.6,2024,5,11
75867,53052,21071,1,64.8,2025-02-02 17:01:49+00:00,Unknown,64.8,2025,2,2
78026,54691,21498,2,17.5,2024-07-06 15:55:31+00:00,Unknown,35.0,2024,7,6
73367,54764,21476,5,86.39,2025-01-06 19:14:37+00:00,Unknown,431.95,2025,1,6
76983,54311,21312,1,61.0,2025-01-12 05:32:06+00:00,Unknown,61.0,2025,1,12
77073,54191,21339,2,71.99,2024-12-20 19:18:00+00:00,Unknown,143.98,2024,12,20
77141,55469,20996,1,43.0,2025-01-28 02:26:47+00:00,Unknown,43.0,2025,1,28
80729,53203,21280,1,16.0,2024-08-28 05:24:48+00:00,Unknown,16.0,2024,8,28
82110,54086,21183,1,58.8,2024-10-14 10:58:10+00:00,"317 Shamika Tunnel, South Otha, NY 71529",58.8,2024,10,14
80541,53621,21454,1,43.8,2024-09-17 07:12:25+00:00,Unknown,43.8,2024,9,17
74246,55814,21161,1,38.75,2024-12-13 12:02:00+00:00,Unknown,38.75,2024,12,13
80465,55372,21283,3,40.5,2025-03-14 13:30:56.519000+00:00,Unknown,121.5,2025,3,14
74118,54263,21111,1,36.6,2024-06-24 05:22:33+00:00,"Apt. 295 4743 Louvenia Light, East Chantetown, CA 29331",36.6,2024,6,24
79398,53822,21245,1,46.5,2024-11-11 04:44:00+00:00,Unknown,46.5,2024,11,11
74166,53103,21160,1,22.5,2024-12-12 21:19:00+00:00,Unknown,22.5,2024,12,12
76226,54616,21267,2,48.0,2025-04-17 11:46:04+00:00,"5926 Lynch Dam, North Lera, MT 68108",96.0,2025,4,17
74634,55754,21234,4,34.0,2025-01-18 16:58:08+00:00,"537 Retha Extension, Raymondtown, WY 35853",136.0,2025,1,18
75743,53888,20926,2,79.8,2024-10-09 13:40:43+00:00,Unknown,159.6,2024,10,9
73688,53816,21073,1,46.5,2025-03-14 01:58:00+00:00,Unknown,46.5,2025,3,14
78528,55429,21032,1,17.1,2024-06-06 03:52:31.438000+00:00,Unknown,17.1,2024,6,6
79147,53606,21207,1,23.99,2024-10-04 19:15:59+00:00,"Apt. 722 230 Davis Radial, Heaneyville, FL 87032-1474",23.99,2024,10,4
81731,54031,21170,1,70.99,2024-09-25 11:15:45+00:00,Unknown,70.99,2024,9,25
74929,53091,21200,1,43.0,2024-11-04 07:29:10+00:00,Unknown,43.0,2024,11,4
75462,53147,21538,1,68.0,2024-06-05 11:50:54+00:00,"Suite 745 84902 Tana Drive, New Zenaida, ME 48169",68.0,2024,6,5
78295,53695,21547,2,21.75,2025-02-18 08:22:23+00:00,"502 Monty Mountain, New Earlburgh, AZ 34015-3985",43.5,2025,2,18
82553,53449,21593,1,59.0,2024-06-24 23:16:07+00:00,Unknown,59.0,2024,6,24
75656,54288,21194,1,19.0,2025-02-25 00:11:49+00:00,Unknown,19.0,2025,2,25
81895,54332,21062,1,72.25,2024-10-07 11:26:16+00:00,Unknown,72.25,2024,10,7
75096,53795,21503,1,81.9,2024-09-11 13:04:36+00:00,Unknown,81.9,2024,9,11
75278,55602,21426,1,26.5,2024-02-17 00:36:05.190000+00:00,"Suite 644 95021 Ron Flat, Jefferytown, NE 56551-7954",26.5,2024,2,17
76393,53213,21086,1,66.5,2024-07-21 20:15:17.420000+00:00,Unknown,66.5,2024,7,21
73500,55060,21489,3,74.39,2024-04-12 01:45:45+00:00,Unknown,223.17,2024,4,12
77797,53391,21066,1,32.75,2025-05-30 16:46:18+00:00,Unknown,32.75,2025,5,30
78052,54269,21486,1,39.99,2024-07-12 02:07:00+00:00,"197 Chi Center, Groverhaven, ME 93867-0353",39.99,2024,7,12
83086,54919,21288,1,25.8,2024-09-30 13:16:22+00:00,Unknown,25.8,2024,9,30
81294,54439,21462,1,31.5,2025-03-29 19:33:07+00:00,Unknown,31.5,2025,3,29
81651,55073,21596,1,63.59,2024-07-14 07:12:30+00:00,Unknown,63.59,2024,7,14
81143,54414,21495,1,21.75,2025-01-11 09:11:27.280000+00:00,Unknown,21.75,2025,1,11
74280,54340,21037,1,55.5,2024-11-02 18:39:26.903000+00:00,Unknown,55.5,2024,11,2
81487,54937,21616,1,81.6,2024-12-02 11:24:50+00:00,Unknown,81.6,2024,12,2
79943,53656,21094,1,69.5,2024-03-01 05:03:56+00:00,Unknown,69.5,2024,3,1
